# collected from ~/text (user diary) via MeCab enumeration.
あ	亜
きしゅ	機種,期首,騎手
きしゅう	奇襲,紀州
きしゅく	寄宿
きしゅくしゃ	寄宿舎
きしゅつ	既出
きしょう	起床,気象,希少,徽章
きしょうちょう	気象庁
きじ	記事,生地
きじく	基軸
きじつ	期日
きじゅつ	記述,奇術
きじゅん	基準
きじょう	騎乗,机上
きじん	奇人
きすい	既遂
きすう	奇数
きず	傷
きずあと	傷跡
きずぐち	傷口
きずな	絆
きせ	木瀬
きせい	帰省,規制,既製,寄生
きせいちゅう	寄生虫
きせき	奇跡,軌跡
きせつ	季節
きせつはずれ	季節外れ
きぜつ	気絶
きそ	基礎,起訴
きそう	奇想,基層
きそうてんがい	奇想天外
きそく	規則
きそん	既存,毀損
きぞう	寄贈
きぞく	貴族,帰属
きた	北
きたい	期待,機体,基体,気体
きたいちじょう	北一条
きたうら	北裏,北浦
きたおか	北岡
きたかすかべ	北春日部
きたかた	喜多方
きたかんとう	北関東
きたがわ	北川,喜多川
きたきゅうしゅう	北九州
きたく	帰宅
きたぐち	北口
きたぐに	北国
きたけ	着丈
きたしながわ	北品川
きたしんじゅく	北新宿
きたじま	北島
きたせんじゅ	北千住
きただ	北田
きたちょうせん	北朝鮮
きたつる	北都留
きたの	北野
きたのかた	北の方
きたはなだ	北花田
きたはら	北原
きたばば	北馬場
きたひら	北比良
きたみ	北見
きたみこうぎょうだいがく	北見工業大学
きたむら	北村,喜多村
きたもん	北門
きだち	木立
きだて	気立て
きち	基地,吉,既知
きちがい	気違い
きちじょうじ	吉祥寺
きちまつ	吉松
きちゃく	帰着
きちょう	貴重,基調,記帳,機長
きちょうめん	几帳面
きっこう	拮抗
きっさ	喫茶
きっさてん	喫茶店
きっすい	生粋
きって	切手
きっぷ	切符
きつえん	喫煙
きつけ	気付,気付け,着付け
きつね	狐
きつねのよめいり	狐の嫁入り
きつもん	詰問
きづかい	気遣い
きづかれ	気疲れ
きてい	規定,基底,既定
きてん	起点
きでん	起電
きと	帰途
きとう	祈祷
きとく	危篤
きど	輝度
きどあいらく	喜怒哀楽
きどう	起動,軌道,気道,機動
きない	機内
きなが	気長
きなこ	黄粉
きにゅう	記入
きぬがわ	衣川
きぬずれ	衣擦れ
きね	杵
きねん	記念
きの	紀
きのう	機能
きのえ	甲
きのくにや	紀伊国屋,紀伊國屋
きのくにやしょてん	紀伊國屋書店
きのした	木下
きのしろたいせつ	木の城たいせつ
きのつらゆき	紀貫之
きのどく	気の毒
きのみきのまま	着の身着のまま
きのり	気乗り
きはく	希薄
きはつ	揮発
きはら	木原
きば	騎馬,木場
きばし	木橋
きばつ	奇抜
きばな	木花
きばらし	気晴らし
きばん	基盤,基板
きひ	忌避
きひょう	起票
きび	機微
きふ	寄付
きふく	起伏
きぶん	気分
きほう	記法
きほん	基本
きほんけい	基本形
きぼ	規模
きぼう	希望
きぼり	木彫り
きまえ	気前
きまぐれ	気まぐれ
きまつ	期末
きまり	決まり
きみ	黄身,気味
きみつ	君津,機密
きみひこ	公彦
きみょう	奇妙
きみわだ	君和田
きむ	金
きむら	木村
きめ	決め
きめかた	決め方
きめて	決め手
きも	肝
きもう	起毛
きもち	気持ち,気持
きもと	木本
きもの	着物
きもん	鬼門
きゃく	客
きゃくいん	客員
きゃくしつ	客室
きゃくしょく	脚色
きゃくせき	客席
きゃくせん	客船
きゃくそう	客層
きゃくひき	客引き
きゃくほん	脚本
きゃたつ	脚立
きゃっか	却下
きゃっかん	客観
きやく	規約
きゅう	急,休,級,旧,九,窮
きゅうあい	求愛
きゅういん	吸引
きゅうえん	救援
きゅうか	休暇
きゅうかく	嗅覚
きゅうかん	旧館,休館
きゅうがく	休学
きゅうき	吸気
きゅうきゅう	救急
きゅうきょく	究極
きゅうきょどう	鳩居堂
きゅうきん	球菌
きゅうぎ	球技
きゅうぎょう	休業
きゅうくつ	窮屈
きゅうけい	休憩
きゅうけつ	吸血
きゅうけつき	吸血鬼
きゅうげき	急激
きゅうこう	急行,休講,休校,旧交
きゅうこん	求婚,球根
きゅうご	救護
きゅうさい	救済,休載
きゅうし	休止,九死
きゅうしき	旧式
きゅうしゅう	吸収,九州
きゅうしゅつ	救出
きゅうしょく	休職,給食,求職
きゅうしん	休診
きゅうじ	給仕,久治
きゅうじょ	救助
きゅうじょう	球場
きゅうじん	求人
きゅうせい	急性,旧姓,旧制
きゅうそく	急速,休息
きゅうたい	球体
きゅうだい	九大,及第
きゅうだん	糾弾
きゅうち	窮地,旧知
きゅうちゃく	吸着
きゅうてい	宮廷
きゅうてんちょっか	急転直下
きゅうでん	給電
きゅうとう	給湯
きゅうにゅう	吸入
きゅうびん	急便
きゅうぴっち	急ピッチ
きゅうふ	給付
きゅうへん	急変
きゅうみん	休眠
きゅうめい	旧名,救命
きゅうめん	球面
きゅうゆ	給油
きゅうゆう	級友
きゅうよ	給与
きゅうよう	休養,急用
きゅうらい	旧来
きゅうりょう	給料
きゅうれい	急冷
きょ	居,挙
きょう	京,教,興,凶,供,恭,姜,狂,挟
きょうあく	凶悪
きょうい	驚異,脅威,胸囲,教委
きょういく	教育
きょういくちょう	教育庁
きょういん	教員
きょうえい	共栄
きょうえき	共益
きょうえん	共演,競演
きょうか	強化,教科,鏡花,供花
きょうかい	境界,教会,協会
きょうかしょ	教科書
きょうかん	共感,教官
きょうがく	驚愕,教学,共学
きょうき	狂気
きょうきゅう	供給
きょうぎ	協議,競技,教義
きょうぎょう	協業
きょうくん	教訓
きょうぐう	境遇
きょうげん	狂言
きょうこ	恭子,響子,強固,今日子,京子
きょうこう	強行,恐慌
きょうごう	競合
きょうごく	京極
きょうさ	教唆
きょうさい	共済
きょうさん	強酸,共産
きょうさんとう	共産党
きょうざい	教材
きょうし	教師
きょうしつ	教室
きょうしゅ	教主
きょうしゅう	教習
きょうしゅうじょ	教習所
きょうしゅく	恐縮
きょうしん	共振
きょうじゃく	強弱
きょうじゅ	教授,享受
きょうじゅつ	供述
きょうせい	強制,矯正,共生
きょうそ	教祖
きょうそう	競争
きょうそうきょく	協奏曲
きょうぞう	胸像
きょうぞん	共存
きょうたく	教卓
きょうだ	京田,強打
きょうだい	兄弟,京大,兄妹,鏡台,強大
きょうだん	教団,教壇
きょうち	境地
きょうちょう	強調,協調
きょうつい	胸椎
きょうつう	共通
きょうてい	協定
きょうでん	強電
きょうと	京都,教徒
きょうとう	教頭,共闘
きょうとだい	京都大
きょうど	強度,郷土
きょうどう	共同
きょうどうつうしん	共同通信
きょうにん	杏仁
きょうねん	享年
きょうはく	強迫,脅迫
きょうはん	共犯
きょうばし	京橋
きょうふ	恐怖
きょうふう	強風
きょうふしょう	恐怖症
きょうみ	興味
きょうみしんしん	興味津々
きょうめい	共鳴
きょうゆ	教諭
きょうゆう	共有
きょうよ	供与
きょうよう	教養,共用,強要
きょうらん	狂乱
きょうり	郷里
きょうりきこ	強力粉
きょうりつ	共立
きょうりゅう	恐竜
きょうりょく	協力,強力
きょうりん	杏林
きょうれつ	強烈
きょうわ	共和,協和
きょうわえくしお	協和エクシオ
きょえい	虚栄
きょか	許可
きょかん	巨漢
きょがく	巨額
きょぎ	虚偽
きょく	曲,局,極
きょくいん	局員
きょくげん	極限
きょくしょ	局所
きょくせい	極性
きょくせん	曲線
きょくたん	極端
きょくちょう	局長
きょくど	極度
きょくばん	局番
きょくぶ	局部
きょくめい	曲名
きょくめん	曲面,局面
きょくもく	曲目
きょくろん	極論
きょこう	虚構,挙行
きょこん	許婚
きょしき	挙式
きょしつ	居室
きょしゅつ	拠出
きょじゅう	居住
きょすう	虚数
きょせい	虚勢,去勢
きょぜつ	拒絶
きょたん	去痰
きょだい	巨大
きょだつ	虚脱
きょてん	拠点
きょとう	巨頭
きょどう	挙動
きょひ	拒否
きょほう	巨峰
きょまん	巨万
きょむ	虚無
きょよう	許容
きょり	距離
きよ	寄与
きよう	器用
きよし	聖,澄,清,浄,潔
きよすみ	清澄
きよた	清田
きよひと	清人
きよみずでら	清水寺
きらい	嫌い
きらく	気楽
きり	切り,霧,限,雰,桐,錐
きりあげ	切り上げ
きりかえ	切り替え,切替
きりかえし	切り返し
きりかぶ	切り株
きりきり	吉里吉里
きりくち	切口,切り口
きりさめ	霧雨
きりしま	霧島
きりすて	切り捨て
きりすときょう	キリスト教,基督教
きりとり	切り取り
きりぬき	切り抜き
きりはなし	切り離し
きりはり	切り貼り
きりふき	霧吹き
きりふだ	切り札
きりぶち	桐渕
きりぼし	切干
きりみ	切り身
きりもち	切り餅
きりもり	切り盛り
きりやま	桐山
きりゅう	気流,桐生
きりょく	気力
きりわけ	切り分け
きりん	麒麟
きれ	切れ
きれい	綺麗
きれこみ	切れ込み
きれはし	切れ端
きれめ	切れ目
きろく	記録
きわ	際
きわみ	極み
きわむ	究
きん	金,琴,禁,菌
きんいつ	均一
きんいろ	金色
きんえん	禁煙
きんか	金貨
きんかん	金管
きんがく	金額
きんき	近畿,禁忌
きんきだい	近畿大
きんきだいがく	近畿大学
きんきゅう	緊急
きんきょう	近況
きんきょり	近距離
きんぎょ	金魚
きんぎょく	金玉
きんく	禁句
きんけん	金券
きんこ	金庫
きんこう	均衡,近郊
きんさ	僅差
きんし	禁止,錦糸,近視
きんしつ	均質
きんしゅく	緊縮
きんしょ	禁書
きんじ	近似
きんじゅ	近習
きんじょ	近所
きんじょう	今上
きんせい	謹製,均整,禁制
きんせつ	近接
きんせん	金銭,琴線
きんそく	禁則
きんぞく	金属,勤続
きんたい	勤怠
きんたろうあめ	金太郎飴
きんだい	近代
きんだいち	金田一
きんだん	禁断
きんちゃく	巾着
きんちょう	緊張
きんてつ	近鉄
きんとう	均等
きんにく	筋肉
きんにくしつ	筋肉質
きんばく	緊縛
きんぱつ	金髪
きんぺん	近辺
きんむ	勤務
きんめだる	金メダル
きんもくせい	金木犀
きんもつ	禁物
きんゆう	金融
きんよく	禁欲
きんり	金利
きんりょく	筋力
きんりん	近隣
ぎ	義,議,儀
ぎいん	議員
ぎえんきん	義援金
ぎおん	祇園
ぎかい	議会
ぎぎ	疑義
ぎけい	義兄
ぎこう	技巧
ぎし	技師
ぎしき	儀式
ぎしんあんき	疑心暗鬼
ぎじ	疑似,議事,擬似
ぎじどう	議事堂
ぎじゅつ	技術
ぎせい	犠牲
ぎそう	偽装
ぎぞう	偽造
ぎだい	議題
ぎちょう	議長
ぎっくりごし	ぎっくり腰
ぎねん	疑念
ぎのう	技能
ぎふ	義父,岐阜
ぎほう	技法
ぎぼ	義母
ぎまい	義妹
ぎまん	欺瞞
ぎむ	義務
ぎめい	偽名
ぎもん	疑問
ぎゃく	逆
ぎゃくさつ	虐殺
ぎゃくさん	逆算
ぎゃくじゅん	逆順
ぎゃくすう	逆数
ぎゃくたい	虐待
ぎゃくてん	逆転
ぎゃくもどり	逆戻り
ぎゃくりゅう	逆流
ぎゃっこう	逆光,逆行
ぎゅう	牛
ぎゅうかわ	牛革
ぎゅうにく	牛肉
ぎゅうにゅう	牛乳
ぎゅうにゅうぱっく	牛乳パック
ぎゆう	義勇
ぎょうかい	業界
ぎょうかん	行間
ぎょうぎ	行儀
ぎょうこ	凝固
ぎょうこう	僥倖
ぎょうざ	餃子
ぎょうしゃ	業者
ぎょうしゅ	業種
ぎょうしゅく	凝縮
ぎょうじ	行事
ぎょうじゃ	行者
ぎょうせい	行政
ぎょうせき	業績
ぎょうそう	形相
ぎょうとう	行頭
ぎょうほう	業法
ぎょうまつ	行末
ぎょうむ	業務
ぎょうよう	行用
ぎょうれつ	行列
ぎょえん	御苑
ぎょかい	魚介
ぎょきょう	漁協
ぎょぎょう	漁業
ぎょくさい	玉砕
ぎょせん	漁船
ぎょそん	漁村
ぎょにく	魚肉
ぎり	義理
ぎりょう	技量
ぎれい	儀礼
ぎろん	議論
ぎわく	疑惑
ぎん	銀
ぎんいろ	銀色
ぎんが	銀河
ぎんがけい	銀河系
ぎんこう	銀行
ぎんこんしき	銀婚式
ぎんざ	銀座
ぎんざん	銀山
ぎんじょう	吟醸
ぎんぞう	銀蔵
く	苦,区,句
くい	悔い
くいき	区域
くいしんぼう	食いしん坊
くいで	食いで
くいにげ	食い逃げ
くいもの	食い物
くうかい	空海
くうかん	空間
くうき	空気
くうきょ	空虚
くうこう	空港
くうしゅう	空襲
くうせき	空席
くうそう	空想
くうちゅう	空中
くうちょう	空調
くうどう	空洞
くうはく	空白
くうばく	空爆
くうふく	空腹
くうぼ	空母
くうもじ	空文字
くうらん	空欄
くうれい	空冷
くかく	区画
くかん	区間
くき	茎
くぎ	釘
くぎづけ	釘付け
くぎみや	釘宮
くぎょう	苦行
くぎり	区切り,区切
くけい	矩形
くげん	苦言
くさ	草
くさいろ	草色
くさかり	草刈
くさき	草木
くさつ	草津
くさとり	草取り
くさなぎ	草薙
くさの	草野
くさのね	草の根
くさみ	臭み
くさむしり	草むしり
くさむら	草むら
くさもち	草餅
くされえん	腐れ縁
くし	串,駆使,櫛
くした	櫛田
くしま	串間
くしやき	串焼き
くしょう	苦笑
くしろ	釧路
くしん	苦心
くじ	久慈
くじゅう	苦渋
くじょ	駆除
くじょう	苦情
くじら	鯨
くすのき	楠
くすり	薬
くすりだい	薬代
くすりや	薬屋
くすりゆび	薬指
くず	屑
くずれ	崩れ
くせ	癖
くせつ	苦節
くせもの	曲者,くせ者
くせん	苦戦
くだもの	果物
くだり	行,下り
くだりざか	下り坂
くだんした	九段下
くち	口
くちあけ	口開け
くちあたり	口当たり
くちき	朽木
くちぐち	口々,口口
くちぐるま	口車
くちこみ	口コミ
くちだし	口出し
くちなおし	口直し
くちびる	唇
くちぶり	口振り
くちべに	口紅
くちまえ	口前
くちもと	口元
くちょう	口調,区長
くっきょう	屈強
くっせつ	屈折
くったく	屈託
くっちゃん	倶知安
くつ	靴
くつう	苦痛
くつした	靴下
くつじょく	屈辱
くつづみ	靴墨
くつづれ	靴擦れ
くつばこ	靴箱
くてん	句点
くとう	苦闘
くとうてん	句読点
くどう	工藤,駆動
くどき	口説き
くどく	功徳
くないちょう	宮内庁
くなしり	国後
くに	国,國
くにえ	國枝
くにかみ	国神
くにぐに	国々
くにしげ	国重
くにたちおんがくだいがく	国立音楽大学
くにたちおんだい	国立音大
くにびと	国人
くのう	苦悩
くび	首
くびすじ	首筋
くびわ	首輪
くふう	工夫
くぶん	区分
くべつ	区別
くぼ	久保,窪
くぼた	久保田
くま	熊
くまがい	熊谷
くまがや	熊谷
くまき	熊木
くまざき	熊崎
くまだ	熊田
くまの	熊野
くまもと	熊本
くみ	組,組み
くみあい	組合
くみあわせ	組み合わせ,組合せ
くみいん	組員
くみかえ	組み換え
くみかた	組み方
くみこみ	組み込み,組込み
くみたて	組み立て,組立
くみとり	くみ取り
くみん	区民
くめがわ	久米川
くめた	久米田
くめん	工面
くも	雲,蜘蛛
くものうえ	雲の上
くもまく	くも膜
くもゆき	雲行き
くもり	曇
くや	国屋
くやくしょ	区役所
くよう	供養
くら	蔵,倉,庫
くらい	位
くらし	暮らし,暮し
くらた	倉田
くらの	蔵野
くらばやし	倉林
くらべ	比べ
くらべもの	比べもの
くらまえばし	蔵前橋
くらもと	蔵元
くらやみ	暗闇
くり	栗
くりいろ	栗色
くりかえし	繰り返し
くりこし	繰越,繰り越し
くりた	栗田
くりだし	繰り出し
くりつ	区立
くりはま	久里浜
くりはません	久里浜線
くりや	厨
くりょ	苦慮
くる	久留
くるしみ	苦しみ
くるま	車
くるまいす	車椅子,車いす
くるまだに	車谷
くるまば	車場
くるまや	車屋
くれ	暮
くろ	黒
くろう	苦労
くろうと	玄人
くろかみ	黒髪
くろかわ	黒川
くろげ	黒毛
くろさき	黒崎
くろさわ	黒沢
くろざとう	黒砂糖
くろじ	黒字
くろずみ	黒ずみ
くろだ	黒田
くろまつ	黒松
くろまめ	黒豆
くろや	黒屋
くわがい	桑谷
くわけ	区分け
くわしま	桑島
くわずぎらい	食わず嫌い
くわばら	桑原
くん	訓
くんしょう	勲章
くんじ	訓辞
くんせい	薫製,燻製
くんどく	訓読
くんよみ	訓読み
くんりん	君臨
くんれん	訓練
ぐ	具
ぐあい	具合
ぐう	遇
ぐうすう	偶数
ぐうぜん	偶然
ぐげん	具現
ぐしょう	具象
ぐたい	具体
ぐち	愚痴
ぐん	軍,郡,群
ぐんかん	軍艦
ぐんき	軍機
ぐんじ	軍事,郡司
ぐんじん	軍人
ぐんたい	軍隊
ぐんて	軍手
ぐんばい	軍配
ぐんび	軍備
ぐんま	群馬
け	毛
けあな	毛穴
けい	啓,経,慶,計,系,軽,圭,景,渓,敬,刑,佳
けいい	経緯,敬意
けいいち	啓一,敬一,恵一
けいえい	経営
けいおう	京王,慶応
けいおうぎじゅく	慶應義塾
けいおうぷらざほてる	京王プラザホテル
けいおんがく	軽音楽
けいか	経過
けいかい	警戒,軽快
けいかく	計画
けいかん	警官,景観
けいき	計器,景気,契機
けいきゅうかわさき	京急川崎
けいぐ	敬具
けいけん	経験
けいげん	軽減
けいこ	恵子,稽古,敬子,けい子
けいこう	蛍光,傾向,携行,経口
けいこく	警告,渓谷
けいご	敬語
けいさい	掲載
けいさつ	警察
けいさつかん	警察官
けいさん	計算
けいざい	経済
けいし	軽視
けいしき	形式
けいしそうかん	警視総監
けいしちょう	警視庁
けいしゃ	傾斜
けいしょう	継承,軽症
けいしょく	軽食
けいじ	刑事,掲示,啓示
けいじどうしゃ	軽自動車
けいじばん	掲示板
けいじょう	形状,計上
けいじんかい	渓仁会
けいすう	係数
けいすけ	圭介,佳佑
けいせい	京成,形成
けいせいかなまち	京成金町
けいせいしすい	京成酒々井
けいせいたかさご	京成高砂
けいせいつだぬま	京成津田沼
けいせき	形跡
けいせん	罫線
けいそう	軽躁,係争
けいそく	計測
けいぞく	継続
けいた	慶太
けいたい	携帯,形態
けいたいそ	形態素
けいたろう	圭太郎
けいだい	境内
けいだんれん	経団連
けいちょう	慶弔
けいつい	頚椎
けいと	毛糸
けいとう	系統,傾倒
けいど	軽度,経度
けいにく	鶏肉
けいねん	経年
けいはつ	啓発
けいはん	京阪
けいはんな	京阪奈
けいば	競馬
けいひ	経費
けいひん	京浜,景品
けいひんきゅうこう	京浜急行
けいひんとうほく	京浜東北
けいひんとうほくせん	京浜東北線
けいび	警備,軽微
けいぶほ	警部補
けいほう	刑法,警報
けいぼう	警棒
けいむ	刑務
けいむしょ	刑務所
けいやく	契約
けいゆ	経由
けいよう	京葉,形容
けいようし	形容詞
けいようせん	京葉線
けいり	経理
けいりょう	軽量
けいれい	敬礼
けいれき	経歴
けいれつ	系列
けいれん	痙攣
けいろ	経路,毛色
けいろう	敬老
けう	稀有
けが	怪我
けがに	毛蟹,毛ガニ
けがにん	けが人
けぎらい	毛嫌い
けげん	怪訝
けさみ	今朝美
けし	消し
けしいん	消印
けしき	景色
けしごむ	消しゴム
けしょう	化粧
けた	桁
けたちがい	桁違い
けだに	毛谷
けっ	決
けっかく	結核
けっかん	血管,欠陥
けっかんしゅ	血管腫
けっき	決起
けっきん	欠勤
けっこう	結構,決行,血行,欠航
けっこん	結婚
けっこんしき	結婚式
けっさい	決済,決裁
けっさく	傑作
けっさん	決算
けっし	決死
けっしゅう	結集
けっしょう	決勝,結晶
けっしょうばん	血小板
けっしょく	欠食,血色
けっしん	決心
けっせい	結成,血清
けっせき	欠席,結石
けっせん	結線,血栓,決戦
けっそく	結束
けっそん	欠損
けっちゃく	決着
けってい	決定
けっていてき	決定的
けっとう	血糖
けっぱん	血判
けつ	欠,決
けつあつ	血圧
けつい	決意
けついん	欠員
けつえき	血液
けつごう	結合
けつじつ	結実
けつじょ	欠如
けつだん	決断,結団
けつにょう	血尿
けつばん	欠番
けつべつ	決別
けつべん	血便
けつまくえん	結膜炎
けつまつ	結末
けつらく	欠落
けつれつ	決裂
けつろ	結露
けつろん	結論
けなげ	健気
けなし	毛無
けぬき	毛抜き
けねん	懸念
けはい	気配
けびょう	仮病
けむり	煙
けやき	欅
けん	件,研,兼,建,健,検,券,県,剣,賢,権,険,堅,験,腱
けんあき	健彰
けんあく	険悪
けんあん	懸案
けんい	権威
けんいき	県域
けんいち	健一
けんいちろう	賢一郎
けんいん	牽引
けんえい	県営
けんえき	検疫
けんえつ	検閲
けんえん	犬猿,倦厭
けんお	嫌悪
けんおん	検温
けんか	喧嘩,献花
けんかい	見解
けんかごし	喧嘩腰,けんか腰
けんがい	圏外
けんがく	見学
けんきゅう	研究
けんきゅうじょ	研究所
けんきょ	謙虚,検挙
けんきん	献金
けんけい	県警
けんけつ	献血
けんげん	権限
けんこう	健康
けんこうこつ	肩胛骨
けんさ	検査
けんさく	検索
けんさつ	検札
けんさつかん	検察官
けんさん	研鑽,研さん
けんざい	健在,顕在
けんしゅう	研修,検収
けんしゅうせい	研修生
けんしゅつ	検出
けんしょう	検証,懸賞,健勝
けんしょうえん	腱鞘炎
けんしん	見神,検診
けんじ	健仁,検事,堅二,健司
けんじゃ	賢者
けんじゅう	拳銃
けんじょう	健常
けんじん	賢人
けんすう	件数,軒数
けんせい	牽制
けんせつ	建設
けんぜん	健全
けんそう	喧騒
けんそん	謙遜
けんぞう	建造
けんたい	倦怠,検体
けんたいき	倦怠期
けんたろう	健太郎
けんち	検知
けんちく	建築
けんちょ	顕著
けんちょう	県庁
けんてい	検定
けんとう	検討,見当,健闘
けんどう	剣道
けんない	県内,圏内
けんにん	兼任
けんの	剣野
けんばい	券売
けんばん	鍵盤
けんびきょう	顕微鏡
けんぴん	検品
けんぶつ	見物
けんぶん	見分,見聞
けんべん	検便
けんぼう	健忘
けんぽ	健保
けんぽう	憲法
けんま	研磨
けんむ	兼務
けんめい	件名,懸命
けんめん	券面
けんもん	検問
けんよう	兼用
けんり	権利
けんりつ	県立
けんりょく	権力
けんろう	堅牢
げい	芸
げいじゅつ	芸術
げいとう	芸当
げいにん	芸人
げいのう	芸能
げいのうじん	芸能人
げか	外科
げかい	下界
げかん	下巻
げき	劇,激,檄
げきか	激化
げきから	激辛
げきげん	激減
げきじょう	劇場
げきせん	激戦
げきたい	撃退
げきだん	劇団
げきちん	撃沈
げきつい	撃墜
げきつう	激痛
げきてき	劇的
げきとう	激闘
げきとつ	激突
げきど	激怒
げきどう	激動
げきむ	激務
げきりん	逆鱗
げきれい	激励
げきれつ	激烈
げきろん	激論
げくう	外宮
げこう	下校
げざ	下座
げざい	下剤
げざん	下山
げし	夏至
げしゃ	下車
げしゅく	下宿
げす	下衆
げすいどう	下水道
げせわ	下世話
げた	下駄
げだつ	解脱
げだん	下段
げっかびじん	月下美人
げっかん	月間
げっきゅう	月給
げっけい	月経
げっけいかん	月桂冠
げっこう	激昂
げっしゅう	月収
げっしょく	月食
げつがく	月額
げつじ	月次
げてもの	下手物
げどう	下道,外道
げねつ	解熱
げねつざい	解熱剤
げひん	下品
げらく	下落
げり	下痢
げん	言,玄,減,現,厳
げんあん	原案
げんいん	原因
げんえき	現役,原液
げんか	原価,減価
げんかい	限界,玄海,厳戒
げんかく	幻覚,厳格
げんかん	玄関
げんが	原画
げんがい	言外
げんがく	減額
げんき	元気
げんきゅう	言及
げんきょう	現況,元凶
げんきん	現金,厳禁
げんぎ	原義
げんけい	原形,原型
げんこう	原稿,現行
げんご	言語
げんごう	元号
げんさく	原作
げんざいち	現在地
げんざいりょう	原材料
げんざん	減算
げんし	原子,原始
げんしゅ	厳守,原酒,原種,元首
げんしょ	原初
げんしょう	現象,減少
げんしょく	現職,原色
げんしりょく	原子力
げんじつ	現実
げんじつばなれ	現実離れ
げんじつみ	現実味
げんじてん	現時点
げんじゅう	厳重
げんじゅうしょ	現住所
げんじょう	現状
げんすい	減衰
げんせい	原生
げんせん	源泉,厳選
げんそう	幻想
げんそく	減速,原則
げんそん	現存
げんぞう	現像
げんたい	減退
げんだい	現代,原題
げんち	現地,言質
げんちょ	原著
げんちょう	幻聴
げんつき	原付
げんてい	限定
げんてん	原点,減点
げんとう	幻灯
げんど	限度
げんどう	言動
げんどうき	原動機
げんどうりょく	原動力
げんば	現場
げんばん	原版
げんぱつ	原発
げんぴん	現品
げんぶつ	現物
げんぶん	原文
げんぼ	原簿
げんぽん	原本
げんまい	玄米
げんみつ	厳密
げんめつ	幻滅
げんめん	減免
げんよう	現用
げんり	原理
げんりょう	減量
こ	子,個,呼,児,鼓,弧
こい	恋,鯉,故意
こいがたき	恋敵
こいけ	小池
こいごころ	恋心
こいしかわ	小石川
こいずみ	小泉
こいちゃ	濃い茶
こいびと	恋人
こいぶみ	恋文
こいめ	濃いめ
こいわ	小岩
こいわずらい	恋煩い
こう	項,高,考,工,効,香,江,行,校,功,稿,候,幸,後,航,孝,公,耕,抗
こうあつ	高圧,降圧
こうあん	考案
こうい	行為,好意,高位,更衣,皇位,後遺
こういき	広域
こういしょう	後遺症
こういち	公一,弘一
こういってん	紅一点
こううん	幸運
こうえい	光栄,公営
こうえき	公益
こうえん	公園,講演,公演
こうえんじ	高円寺
こうおん	高温
こうか	効果,高価,高架,降下,校歌,硬化,工科
こうかい	公開,後悔,更改,航海
こうかいどう	公会堂
こうかく	広角,降格,口角
こうかつ	狡猾
こうかん	交換,好感,交歓
こうかんしんけい	交感神経
こうが	甲賀
こうがい	郊外,口外
こうがく	工学,高額,光学
こうがくねん	高学年
こうがくぶ	工学部
こうがくれき	高学歴
こうがっか	工学科
こうがん	睾丸
こうがんざい	抗癌剤
こうき	後期,好奇
こうきあつ	高気圧
こうきゅう	高級,高給,後宮
こうきょ	皇居
こうきょう	公共
こうきん	抗菌
こうぎ	講義,抗議
こうぎょう	工業,興行
こうくう	航空
こうくうき	航空機
こうくん	校訓
こうぐ	工具
こうぐうけいさつ	皇宮警察
こうけい	光景,後継,口径
こうけつ	高潔
こうけつあつ	高血圧
こうけん	貢献
こうげい	工芸
こうげき	攻撃
こうげん	光源,高原,公言
こうこ	考古,公庫
こうこう	高校,口腔,航行,孝行
こうこうせい	高校生
こうこく	広告
こうこくとう	広告塔
こうこつ	甲骨
こうご	交互
こうごう	皇后
こうさ	交差,黄砂
こうさい	交際
こうさく	工作,耕作
こうさつ	考察
こうさてん	交差点
こうさん	降参,公算
こうざ	口座,講座
こうざい	香西
こうざん	鉱山,高山
こうし	講師,格子,行使,公私
こうしえん	甲子園
こうしき	公式
こうしつ	皇室
こうしゃ	後者,校舎,公社,降車
こうしゅう	講習,公衆,広州,口臭,甲州
こうしゅうは	高周波
こうしょ	高所
こうしょう	交渉,校章,考証,高尚,公証,公称
こうしょく	紅色
こうしん	更新,行進,交信,亢進,口唇
こうしんじょ	興信所
こうしんらい	高信頼
こうしんりょう	香辛料
こうじ	工事,小路,幸子,高次,麹,康治,晃司,浩二
こうじえん	広辞苑
こうじつ	口実
こうじゅつ	後述
こうじょ	控除
こうじょう	向上,工場,恒常
こうじょうしん	向上心
こうじょうせん	甲状腺
こうじん	幸甚
こうすい	香水
こうすいじゅん	高水準
こうすう	工数
こうず	構図
こうずい	洪水
こうせい	構成,抗生,厚生,校生,更生,攻勢
こうせいのう	高性能
こうせき	功績,鉱石
こうせつ	降雪
こうせん	光線,高専,好戦
こうそ	酵素
こうそう	構想,高層
こうそく	高速,拘束,梗塞,光速
こうそつ	高卒
こうぞう	構造
こうぞく	後続,皇族
こうたい	交代,交替,抗体,後退
こうたいいき	広帯域
こうたいし	皇太子
こうたく	光沢
こうたろう	貢太郎,光太郎
こうだい	工大,広大,光代
こうだか	甲高
こうだん	後段
こうち	高知
こうちく	構築
こうちゃ	紅茶
こうちょう	校長,公聴
こうちょく	硬直
こうちん	工賃
こうつう	交通
こうつごう	好都合
こうづ	国府津
こうてい	工程,肯定,行程,皇帝,高低,校庭
こうてき	公的
こうてつ	更迭
こうてん	好転,荒天,交点
こうてんてき	後天的
こうとう	口頭,高等,高騰
こうとうぶ	後頭部
