# collected from ~/text (user diary) via MeCab enumeration.
あ	亜
あぶらみ	脂身
あべ	阿部,安倍
あほ	阿保
あま	尼
あまがさ	天笠
あまがっぱ	雨合羽
あまぎ	天城
あまくだり	天下り
あまくち	甘口
あまぐ	雨具
あまぐも	雨雲
あまぐり	甘栗
あまごぜんみさき	尼御前岬
あまざけ	甘酒
あまざらし	雨ざらし
あましょく	甘食
あまず	甘酢
あまつぶ	雨粒
あまね	周
あまの	雨野,天野
あまのがわ	天の川
あまのじゃく	天邪鬼
あまみ	甘み,甘味,奄美
あまもり	雨漏り
あまやどり	雨宿り
あまり	余り
あみ	網,亜美,編み
あみかけ	網掛
あみだ	阿弥陀
あみど	網戸
あみのさん	アミノ酸
あみめ	網目
あむろ	安室
あめ	雨,飴
あめあがり	雨上がり
あめあし	雨足
あめかぜ	雨風
あめふり	雨降り
あめりかたいりく	アメリカ大陸
あもう	天羽
あや	綾,文,彩
あやか	文香
あやぎぬ	綺
あやこ	綾子
あやしげ	怪しげ
あやせ	綾瀬
あやべ	綾部
あやまち	過ち
あやまり	誤り
あゆ	鮎
あゆみ	歩,亜由美
あら	荒,粗
あらい	荒井,洗,洗い,新井
あらいだし	洗い出し
あらいば	洗い場
あらいもの	洗い物
あらかた	粗方
あらかわ	荒川
あらかわせん	荒川線
あらき	荒木,新木
あらくれもの	荒くれ者
あらし	嵐
あらそい	争い
あらた	新た
あらため	改,改め
あらの	荒野
あらわ	顕
あらわれ	現れ,表れ
あり	蟻
ありあけ	有明
ありかた	あり方,在り方
ありが	有賀
ありがね	有り金
ありさま	有様
ありすがわ	有栖川
ありだか	有高
ありま	有馬
ありゅう	亜流
ありよし	有吉
あるき	歩き,行
あるじ	主
あるちゅう	アル中
あわ	泡,阿波
あわかもがわ	安房鴨川
あわじしま	淡路島
あわせ	合わせ
あわもり	泡盛
あわれ	哀れ
あん	案,庵,餡,安
あんい	安易
あんか	安価
あんかけ	餡掛け
あんき	暗記
あんぎゃ	行脚
あんけん	案件
あんごう	暗号
あんさつ	暗殺
あんざん	暗算
あんしょう	暗証
あんしん	安心
あんじ	暗示
あんず	杏
あんせい	安静
あんぜん	安全
あんたい	安泰
あんちょく	安直
あんてい	安定
あんてん	暗転
あんど	安堵
あんどう	安藤
あんどん	行灯
あんな	杏奈
あんない	案内
あんばい	塩梅
あんぴ	安否
あんぶ	暗部
あんま	按摩
あんまく	暗幕
あんみん	安眠
あんもく	暗黙
あんやく	暗躍
い	胃,意,井,伊,藺,医
いあつ	威圧
いいかえ	言い換え
いいかた	言い方
いいじま	飯島
いいすぎ	言い過ぎ
いいだ	飯田
いいだばし	飯田橋
いいづか	飯塚
いいね	言い値
いいの	飯野
いいぶん	言い分
いいまわし	言い回し
いいむら	飯村
いいもり	飯森
いいよう	言いよう,言い様
いいわけ	言い訳
いいん	医院,委員
いうち	井内
いえ	家
いえい	遺影
いえがら	家柄
いえき	胃液
いえで	家出
いえん	胃炎
いおう	硫黄
いか	医科,如何
いかいよう	胃潰瘍
いかく	威嚇
いかり	怒り,碇,錨
いかわ	伊川
いかん	移管,遺憾
いがい	意外
いがく	医学
いがくぶ	医学部
いがらし	五十嵐
いがわ	伊川
いがん	胃癌,胃がん,胃ガン
いき	行き,息,粋,域,意気,位記
いきおい	勢い
いきかた	生き方,行き方
いきがい	生き甲斐
いきき	行き来
いきぎれ	息切れ
いきごみ	意気込み
いきすぎ	行き過ぎ
いきちがい	行き違い
